index,loss,correct,pred
0,0.9040932655334473,1, 5
1,1.073670744895935,1, 5
2,1.0387533903121948,1, 5
3,1.1541062593460083,1, 5
4,1.038126826286316,1, 10
5,1.0343201160430908,1, 10
6,1.050723671913147,1, 10
7,1.1364063024520874,1, 10
8,1.3685288429260254,1, 20
9,1.3560367822647095,1, 20
10,1.4984596967697144,1, 20
11,1.4875208139419556,1, 20
12,4.539042949676514,0, 1
13,5.188684940338135,0, 1
14,4.76754093170166,0, 1
15,5.014071941375732,0, 1
16,4.352133750915527,0, 1
17,4.854684829711914,0, 1
18,4.116269588470459,0, 1
19,4.5993757247924805,0, 1
20,5.312518119812012,0, 5
21,5.066250801086426,0, 5
22,5.391989707946777,0, 5
23,5.10083532333374,0, 5
24,7.067326545715332,0, 5
25,7.09292459487915,0, 5
26,7.127808570861816,0, 5
27,7.188714027404785,0, 5
28,7.877162933349609,0, 5
29,7.762495040893555,0, 5
30,7.455831527709961,0, 5
31,7.74984073638916,0, 5
32,11.480217933654785,0, 5
33,11.904183387756348,0, 5
34,11.309530258178711,0, 5
35,11.191876411437988,0, 5
36,11.512139320373535,0, 5
37,11.891234397888184,0, 5
38,11.291912078857422,0, 5
39,11.171965599060059,0, 5
40,0.9657459855079651,1, 5
41,0.9024545550346375,1, 5
42,1.1540488004684448,1, 5
43,1.0376460552215576,1, 5
44,1.0519146919250488,1, 10
45,0.8993329405784607,1, 10
46,1.125594139099121,1, 10
47,1.0270347595214844,1, 10
48,1.1880937814712524,1, 20
49,0.8909485936164856,1, 20
50,1.336280345916748,1, 20
51,1.1136035919189453,1, 20
52,3.652461290359497,0, 1
53,3.1146485805511475,0, 1
54,3.877223491668701,0, 1
55,3.1355111598968506,0, 1
56,2.9867255687713623,0, 1
57,1.2872143983840942,1, 100
58,2.8664395809173584,0, 1
59,1.2888026237487793,1, 100
60,1.0317189693450928,1, 5
61,0.9697805643081665,1, 5
62,1.216639518737793,1, 5
63,1.1959846019744873,1, 5
64,1.1881141662597656,1, 10
